version,perClass Mira 4.2.7 (26-jun-2023),,,,Object location,,Fixed by image regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format,feature extraction,,,,What is represented,,All object pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mean spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image,Object,Bounding box,,,,Region,,Content,,band index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
name,name,Column,Row,Width,Height,class,,present,pixels,wavelength,350,354,358,362,366,370,374,378,382,386,390,394,398,402,406,410,414,418,422,426,430,434,438,442,446,450,454,458,462,466,470,474,478,482,486,490,494,498,502,506,510,514,518,522,526,530,534,538,542,546,550,554,558,562,566,570,574,578,582,586,590,594,598,602,606,610,614,618,622,626,630,634,638,642,646,650,654,658,662,666,670,674,678,682,686,690,694,698,702,706,710,714,718,722,726,730,734,738,742,746,750,754,758,762,766,770,774,778,782,786,790,794,798,802,806,810,814,818,822,826,830,834,838,842,846,850,854,858,862,866,870,874,878,882,886,890,894,898,902,906,910,914,918,922,926,930,934,938,942,946,950,954,958,962,966,970,974,978,982,986,990,994,998,1002
Ophiodon elongatus LS_2_2024-08-09_10-59-24,reg1,101,199,346,122,fish,,TRUE,13506,,0.251236141,0.152293652,0.125497103,0.113626264,0.06743826,0.044570949,0.029432023,0.027325891,0.018182822,0.012575482,0.011665267,0.01978549,0.026409034,0.03203126,0.039110649,0.040794969,0.038179621,0.036299199,0.040801913,0.048498627,0.054571301,0.062737897,0.06911651,0.077788904,0.086057499,0.091724113,0.094240844,0.096339919,0.09853629,0.100624986,0.103214048,0.108200885,0.11238037,0.114794455,0.11667148,0.119515806,0.124860242,0.129554525,0.132597059,0.134867609,0.137811333,0.14296858,0.147938624,0.152907968,0.157867774,0.163027972,0.169524804,0.175527811,0.177894548,0.178374603,0.180902496,0.188131601,0.193856016,0.19518733,0.193791017,0.19439137,0.200169235,0.205855444,0.213477939,0.221973762,0.22901462,0.233105212,0.237082049,0.242347613,0.247960329,0.253858775,0.26147899,0.268629998,0.275634468,0.282364756,0.2884534,0.29306227,0.298294812,0.308821172,0.32009086,0.329934299,0.337969482,0.345737368,0.355830669,0.366525769,0.377722144,0.390893102,0.403832406,0.415870517,0.427230477,0.439072996,0.452502936,0.465983063,0.476167649,0.484968007,0.49493587,0.523537993,0.54162854,0.544802904,0.547990024,0.552450418,0.569029331,0.589053094,0.612459481,0.637191594,0.653549194,0.664788783,0.673662424,0.682094097,0.689747453,0.697359145,0.707451582,0.716873646,0.725422978,0.730427623,0.737733662,0.748070419,0.762041509,0.770460248,0.778099477,0.784789264,0.793574631,0.803451478,0.809320033,0.81488061,0.819562316,0.824303865,0.829456568,0.837998688,0.846377313,0.851146936,0.855440497,0.859119356,0.861369669,0.863814652,0.869146705,0.870883644,0.870846033,0.873420358,0.876922786,0.87820369,0.877021134,0.873764753,0.872799158,0.871830702,0.875468731,0.876069963,0.878843129,0.876846313,0.872757554,0.865049779,0.859939694,0.852238059,0.839339912,0.822321594,0.80417192,0.787647665,0.772554815,0.763630211,0.759052932,0.755375624,0.751134574,0.744260371,0.738676429,0.737150431,0.736458838,0.737818122,0.743148625,0.73927474
Catostomus plotyrhynchus LS_3_2024-08-09_11-04-50,reg1,143,197,371,106,fish,,TRUE,16105,,0.260907441,0.196934938,0.17189537,0.146394804,0.091744736,0.060525596,0.058489364,0.058709987,0.04551632,0.037783995,0.035065085,0.038275227,0.041178703,0.042669587,0.045931183,0.04482263,0.038854752,0.034508996,0.036978703,0.042022284,0.046305891,0.051321309,0.055376608,0.061553255,0.067541093,0.071392074,0.073351413,0.075011812,0.076510593,0.077839725,0.079946734,0.084032729,0.087438896,0.089033216,0.090225242,0.092858516,0.09788698,0.102253027,0.105005458,0.107050873,0.110124819,0.115609333,0.120900363,0.125348672,0.129354045,0.13365902,0.138901398,0.143816784,0.145382449,0.145275429,0.147290856,0.153018355,0.157957807,0.156951651,0.15420486,0.15362893,0.158235773,0.162700966,0.168650612,0.175060764,0.179930851,0.182103172,0.184222668,0.187982276,0.19213149,0.19649002,0.20145838,0.206059858,0.209916919,0.213486567,0.216354206,0.218432561,0.221924067,0.229840994,0.237985149,0.244447336,0.249596894,0.254792899,0.262443274,0.270856857,0.280390203,0.291405052,0.301690727,0.310977072,0.319817275,0.328688055,0.338259012,0.347563744,0.354814351,0.361207247,0.367251694,0.385103643,0.398119271,0.401082933,0.404060751,0.408156306,0.42081818,0.435646147,0.454545349,0.473698318,0.486201555,0.49610737,0.50495863,0.511044562,0.51626879,0.523109496,0.532386363,0.541169345,0.548257232,0.55456543,0.561827123,0.571996152,0.583719969,0.592604578,0.599558294,0.6060583,0.614816189,0.625485778,0.63417393,0.641787052,0.648225784,0.655712366,0.663953722,0.677138984,0.688173294,0.692850351,0.699359596,0.702937245,0.703592658,0.706512272,0.713981628,0.716304779,0.715481222,0.719870269,0.728992403,0.735503197,0.738351464,0.739230037,0.742985785,0.749091268,0.762372613,0.76846087,0.776569188,0.77858299,0.777361572,0.774254739,0.776768506,0.77367872,0.768790841,0.76293987,0.759382963,0.754265964,0.748222828,0.745014548,0.74281913,0.743189275,0.74174583,0.740148604,0.739102602,0.739448249,0.738595724,0.737142563,0.737828851,0.736095965
Catostomus plotyrhynchus LS_4_2024-08-09_11-06-05,reg1,152,183,366,97,fish,,TRUE,15029,,0.273921818,0.230006367,0.20362328,0.168168291,0.090457611,0.052313771,0.045185171,0.043261517,0.02656622,0.017344346,0.015429426,0.023688292,0.029583229,0.034621947,0.039344963,0.038857315,0.032217707,0.02778489,0.030839747,0.036153104,0.040681843,0.046534568,0.05115068,0.058022615,0.064155601,0.06802313,0.070165195,0.072092816,0.073539987,0.074763604,0.077410735,0.081738599,0.085388295,0.08753857,0.089338273,0.092707179,0.097830281,0.102206856,0.104952782,0.107239015,0.110700384,0.116301604,0.121745355,0.127005011,0.131817102,0.137107268,0.143497929,0.149471506,0.151345089,0.151643112,0.155130312,0.162064746,0.167770579,0.166510195,0.164277107,0.165050611,0.170755491,0.176274493,0.183473662,0.190810174,0.196045622,0.198851094,0.201598421,0.205836594,0.210477844,0.215825886,0.221611768,0.22695151,0.232081249,0.237275541,0.241116226,0.244178444,0.249403477,0.258840173,0.267835081,0.274921566,0.281105965,0.287364036,0.295893162,0.305046111,0.315660805,0.327468306,0.338031441,0.347489178,0.356969953,0.366549969,0.376950085,0.386909515,0.394293159,0.400947541,0.406730086,0.425521642,0.440452248,0.443216115,0.445991039,0.4501158,0.462657362,0.477225423,0.499075532,0.517943442,0.52868551,0.53832978,0.54635179,0.550689459,0.555066407,0.562599063,0.571118176,0.57898438,0.584801555,0.590345204,0.595474243,0.605264843,0.616856754,0.626223326,0.632220089,0.637144506,0.644690394,0.655403078,0.664330304,0.6712026,0.67651397,0.683451355,0.691451132,0.706570506,0.717101455,0.718429446,0.723794699,0.72508359,0.722618461,0.724331915,0.731886208,0.732084811,0.728619635,0.731328845,0.74112761,0.748195589,0.750173628,0.750319898,0.752040565,0.756614745,0.769069493,0.775124192,0.782903194,0.784487247,0.781980097,0.776987731,0.778251767,0.772612274,0.765231788,0.757400274,0.752648592,0.747191727,0.739918709,0.735524774,0.732458174,0.734051406,0.732039869,0.729862988,0.728082836,0.728260994,0.726064026,0.723063231,0.723427355,0.724216342
Oncorhynchus clarkii LS_5_2024-08-09_11-10-12,reg1,115,178,419,151,fish,,TRUE,29186,,0.286937118,0.200406939,0.170927107,0.146659866,0.073133714,0.047433343,0.037060242,0.03437233,0.023820335,0.017817602,0.015976945,0.021681376,0.026003171,0.029913882,0.03476575,0.034712564,0.029615561,0.026211865,0.029623127,0.035324372,0.040791068,0.04843593,0.054737777,0.062500931,0.069453858,0.074480504,0.078066058,0.081328511,0.084163859,0.086664885,0.090225533,0.095370814,0.099622101,0.102442384,0.104839273,0.108622745,0.114322804,0.11919003,0.122853585,0.126076728,0.130098805,0.136140868,0.142072424,0.148216203,0.154147282,0.160252258,0.167554647,0.17438665,0.177561909,0.178891823,0.182948261,0.191017061,0.197277561,0.198212415,0.197063476,0.198800221,0.205494434,0.212077573,0.220576629,0.22966285,0.236829862,0.241514057,0.246059746,0.252220213,0.258765846,0.265702993,0.273275554,0.280364752,0.287563801,0.294617474,0.30041948,0.305388391,0.312802643,0.323959261,0.335084766,0.344477177,0.352674484,0.360504389,0.370319068,0.380880326,0.392873794,0.406055748,0.41767782,0.428604573,0.439230949,0.449795574,0.461214155,0.472242057,0.481026798,0.488941461,0.496134788,0.520457685,0.537836432,0.541067839,0.544326246,0.54924047,0.563785076,0.581537008,0.606795967,0.628562868,0.64288938,0.654564679,0.663550913,0.671009958,0.678322315,0.688030243,0.699701548,0.710302591,0.719156384,0.726058245,0.733216524,0.745762169,0.761540234,0.772867024,0.781177163,0.787235022,0.797014475,0.810210168,0.819227874,0.82629317,0.831034005,0.837367535,0.845110297,0.860130787,0.867504001,0.866978168,0.871720672,0.871912241,0.870472491,0.875241756,0.884990036,0.883523703,0.877677977,0.879775345,0.888424158,0.891862154,0.888855457,0.883600593,0.882220924,0.884074628,0.895759523,0.901312172,0.90963167,0.909918785,0.905048609,0.895944417,0.892714858,0.880901337,0.865414381,0.847289979,0.831850469,0.81794852,0.804206192,0.795516193,0.789531052,0.787483275,0.781715631,0.775163531,0.770639598,0.769188821,0.765680075,0.762693584,0.766093612,0.764082134
Oncor hynchus mykiss LS_6_2024-08-09_11-14-31,reg1,54,154,478,167,fish,,TRUE,33641,,0.350896269,0.249089241,0.206671506,0.162812993,0.098139793,0.065184295,0.059203781,0.058352068,0.050484139,0.048870839,0.051535372,0.076120295,0.090351664,0.106556304,0.120101571,0.125767142,0.127822146,0.129446074,0.139841825,0.151379406,0.161063686,0.170815036,0.178854704,0.188660756,0.197438642,0.20422253,0.209662646,0.214452967,0.218677655,0.222636312,0.228056207,0.234734803,0.240597859,0.245234862,0.249334157,0.254897416,0.261541635,0.26698032,0.271204382,0.275196373,0.279734135,0.285689741,0.291840613,0.298056006,0.303914517,0.309697688,0.316140711,0.322164327,0.325020164,0.326708376,0.331003428,0.337831944,0.341605693,0.341820687,0.341107756,0.344054818,0.349964976,0.356039524,0.363340557,0.370702893,0.3760463,0.379839122,0.383643478,0.388683856,0.394019037,0.400106877,0.405747384,0.410908401,0.416568786,0.422274679,0.426031113,0.429672986,0.436511099,0.445986181,0.455001652,0.462214142,0.468783051,0.475014657,0.482781351,0.490943193,0.50021255,0.510100484,0.518826604,0.527018249,0.535847366,0.544390619,0.553734899,0.562649429,0.569488049,0.575866759,0.580245912,0.601575017,0.618160367,0.620465994,0.622806311,0.627245784,0.6388852,0.654096007,0.679180264,0.694087565,0.70388484,0.713090718,0.717261195,0.720513105,0.726459444,0.735104561,0.743011117,0.749976993,0.755616248,0.757469177,0.758959949,0.767705977,0.781664073,0.791246176,0.795868337,0.797311783,0.803729892,0.815639853,0.823144138,0.826972663,0.827629507,0.830651283,0.83581531,0.850554645,0.855229616,0.849434972,0.851630688,0.848766983,0.843556583,0.844843447,0.853845775,0.851321161,0.843889236,0.84220463,0.846541822,0.847162724,0.841521561,0.833492219,0.829897404,0.828402162,0.837318838,0.843114972,0.852205515,0.852770388,0.847222388,0.835323334,0.830307066,0.816267848,0.79827261,0.777930796,0.760536492,0.745433211,0.730846286,0.721331716,0.717262328,0.717982471,0.712715566,0.703544676,0.696365833,0.694366813,0.691656768,0.693239927,0.70060426,0.701597989
paralabrax clathratus LS_7_2024-08-09_11-18-49,reg1,105,135,456,202,fish,,TRUE,32867,,0.316381484,0.233469099,0.192823157,0.154187039,0.071174644,0.046387125,0.03536826,0.032965831,0.025916973,0.023825957,0.023525352,0.034925297,0.042486075,0.051199209,0.059209589,0.060799986,0.059127692,0.05846224,0.064553007,0.071888722,0.079230987,0.087587841,0.094575495,0.102662452,0.1097304,0.114728548,0.118603379,0.122087732,0.125088483,0.127792269,0.131868407,0.136923462,0.141545087,0.145010069,0.148126215,0.152930826,0.159079686,0.164147705,0.168195873,0.171953261,0.176622108,0.183140427,0.1898202,0.196788818,0.20344533,0.210259214,0.218111292,0.225514129,0.22962743,0.232151002,0.238050342,0.247338548,0.25370127,0.2553581,0.255433857,0.259093761,0.266759932,0.274327129,0.283513337,0.293077946,0.300443649,0.305832148,0.311068803,0.317862898,0.325134993,0.332814217,0.340290606,0.347239107,0.354820251,0.362231672,0.367848396,0.373369843,0.382708073,0.394443601,0.405509919,0.414941579,0.42377159,0.432231665,0.442496061,0.453485608,0.466379464,0.480441213,0.492190123,0.503598928,0.515129924,0.52656424,0.538802147,0.55029583,0.559657097,0.568207681,0.57530731,0.603770435,0.623951077,0.627453446,0.631108046,0.636832714,0.650769889,0.669413269,0.697381496,0.715427279,0.72802043,0.739083827,0.74539274,0.750925183,0.757495105,0.766559899,0.77560097,0.783266127,0.790497303,0.795520067,0.79880482,0.807457626,0.820243597,0.828196883,0.832325995,0.832992971,0.838514745,0.849146962,0.854640365,0.856978297,0.856682777,0.858628571,0.863444388,0.876337051,0.876439214,0.868394494,0.86815393,0.861383617,0.854190767,0.85594523,0.862766504,0.856413603,0.845533371,0.844379365,0.850955248,0.852291226,0.845730722,0.837077916,0.833697855,0.83501178,0.846304476,0.85269475,0.861769974,0.861124933,0.854098141,0.843555987,0.839118421,0.824879408,0.806925416,0.786765635,0.770192504,0.754128635,0.738025308,0.727803171,0.722082019,0.72093612,0.714812875,0.708112299,0.703617156,0.701976776,0.696177781,0.690907598,0.695631385,0.695260882
Sebastes rosaceus LS_8_2024-08-09_11-21-53,reg1,96,151,426,197,fish,,TRUE,35415,,0.276931614,0.219306454,0.188782349,0.158528984,0.08643613,0.053469189,0.057438176,0.057256818,0.0419106,0.034495845,0.033821139,0.051457755,0.062339213,0.073286079,0.08369536,0.088243559,0.08927837,0.089786105,0.097856425,0.108183034,0.11687319,0.126215279,0.13381432,0.143599704,0.152447894,0.159764215,0.166042626,0.171546623,0.176384047,0.180762202,0.186375529,0.193980217,0.200626388,0.206289738,0.211278722,0.217714146,0.226371258,0.233914003,0.240564972,0.246858016,0.2535761,0.261965722,0.270059019,0.278689742,0.287063003,0.295255631,0.304196566,0.31258288,0.317504078,0.320645541,0.326711297,0.337119877,0.345913559,0.349380583,0.351172775,0.355519533,0.36408636,0.372350752,0.382170022,0.392341912,0.400707185,0.406930029,0.412936419,0.420129418,0.427606136,0.435249388,0.4429124,0.450083703,0.457576126,0.465159267,0.471310288,0.476357639,0.483321309,0.494092494,0.504885912,0.51403904,0.522056937,0.529620111,0.538481474,0.547540128,0.557945728,0.570103586,0.58119452,0.591084301,0.600618839,0.610062361,0.620526791,0.630831778,0.638863444,0.646175325,0.652748048,0.676169753,0.69278127,0.695349574,0.697944403,0.701362312,0.713285923,0.726907194,0.746714175,0.766019166,0.777058125,0.785772264,0.793095589,0.797701418,0.801956415,0.807628572,0.815171957,0.822114408,0.826637387,0.83006084,0.834878743,0.842654884,0.852259159,0.858867466,0.863450408,0.86700356,0.871270061,0.877462506,0.881753147,0.884376109,0.885075569,0.886824369,0.888844371,0.896766424,0.900990307,0.897746146,0.898039043,0.895887196,0.892030656,0.892264426,0.897922933,0.895384312,0.888709068,0.886384428,0.888611615,0.886143804,0.87757796,0.866782546,0.862085104,0.858397901,0.863826931,0.869648457,0.87840265,0.878717244,0.874435365,0.865005672,0.859303713,0.848101139,0.830965459,0.810094476,0.788679957,0.771854699,0.756255209,0.745827615,0.737241507,0.732244611,0.726930022,0.720525682,0.714801729,0.712225616,0.709493756,0.707780063,0.708014011,0.707542837
Sebastes serriceps LS_9_2024-08-09_11-24-11,reg1,55,154,457,244,fish,,TRUE,60251,,0.317220539,0.218186334,0.174501076,0.141047984,0.07460162,0.04926414,0.043168794,0.039651502,0.02784601,0.02224268,0.021313772,0.030290691,0.036083732,0.043007467,0.050195612,0.051057763,0.047445457,0.045024622,0.050280701,0.057538554,0.063578583,0.070758238,0.076657869,0.084477574,0.091643646,0.097081162,0.100981534,0.104340263,0.106993504,0.109353982,0.112871297,0.118439257,0.123254292,0.126497358,0.12926513,0.133413911,0.139530718,0.144757852,0.148547515,0.151918232,0.156017736,0.162006721,0.167922437,0.173908085,0.179619581,0.185577393,0.192797571,0.199452281,0.202657014,0.204468295,0.209055752,0.216895998,0.222668156,0.224040151,0.224149093,0.227563903,0.234492481,0.241334364,0.249659166,0.258216828,0.264908642,0.269694805,0.274397224,0.28070572,0.287436604,0.294698894,0.302017629,0.308827817,0.315694004,0.322450161,0.327763081,0.332412362,0.339402735,0.349845618,0.360237509,0.36904034,0.376760066,0.384197265,0.393364608,0.402911693,0.413442731,0.42539373,0.436260641,0.446097702,0.45535475,0.464547575,0.474714816,0.484564751,0.492169738,0.499040902,0.505418122,0.526952028,0.542559981,0.545002937,0.54746896,0.551871896,0.564499617,0.58029294,0.60445863,0.622659326,0.6340729,0.643850267,0.649962306,0.654586017,0.660794199,0.669909477,0.679381311,0.687930346,0.695461512,0.700382769,0.704243064,0.714431047,0.728703499,0.739011407,0.74470228,0.747752368,0.755653918,0.767870247,0.775455177,0.779777348,0.781734467,0.786144853,0.792214215,0.806341887,0.812296271,0.809275031,0.811912298,0.81089884,0.807386637,0.809167922,0.816986024,0.815585673,0.810238719,0.809781194,0.814665854,0.815643013,0.810723662,0.803690314,0.801793337,0.801767707,0.810554028,0.816795111,0.825486541,0.826914251,0.822929561,0.813270688,0.809444547,0.798940778,0.78364408,0.766234815,0.750727117,0.737686813,0.724367321,0.715844572,0.7115798,0.712937713,0.708991706,0.701969624,0.695486546,0.693595767,0.691392779,0.692215145,0.69976908,0.701215446
